order,easting,northing,period,cld_st,cld_end,t_sun,Ppip,hab,den_cont,den_int,den_wtt,gap,den_w1,den_w2,den_w3,dist_M5,dist_conif,dist_river,dist_dec,dist_awood,dist_im,den_SE_im,den_SE_dec,den_SE_ah,den_SE_ac,den_PE_im_im,den_PE_ah_im,den_PE_ac_im,den_PE_ac_ac,den_PE_ah_ah
1256,329412.135100,130038.472500,501,100,100,1.670,2,wtt,0.00000,0.00000,0.00082,1.21171,0.00039,0.00161,0.00003,1413.76256,1187.01306,414.00482,1187.01306,11333.29590,0.00000,0.00692,0.00000,0.00108,0.00005,0.00403,0.00040,0.00542,0.00000,0.00187
1323,330039.024800,129806.366000,519,100,100,2.575,2,wtt,0.00000,0.00000,0.00000,0.00000,0.00048,0.00000,0.00000,984.76709,1458.90369,80.62257,1458.90369,11406.80469,10.00000,0.00831,0.00000,0.00273,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1378,329262.469000,129141.840900,536,30,30,1.734,2,int,0.00000,0.00000,0.00000,0.00000,0.00046,0.00152,0.00010,762.87015,458.80280,370.00000,0.00000,10461.07520,180.27756,0.00000,0.00000,0.00154,0.00016,0.00000,0.00000,0.00000,0.00000,0.00206
1419,330480.811400,132887.937300,546,0,0,1.656,2,wtt,0.00156,0.00132,0.00035,0.00000,0.00008,0.00068,0.00020,805.65134,10.00000,211.89619,10.00000,14354.14941,0.00000,0.00577,0.00156,0.00017,0.00000,0.00099,0.00132,0.00000,0.00000,0.00000
1451,331375.669300,132445.500300,563,0,0,2.823,2,wtt,0.00084,0.00000,0.00039,0.00000,0.00013,0.00067,0.00020,1602.22296,939.84039,590.33887,939.84039,14365.58398,0.00000,0.00422,0.00000,0.00610,0.00009,0.00239,0.00159,0.00374,0.00205,0.00738
1457,336546.137300,157987.087600,566,85,85,0.654,2,int,0.00368,0.00095,0.00008,1.09906,0.00013,0.00057,0.00008,1618.05298,70.00000,1361.24939,70.00000,446.87805,0.00000,0.00678,0.00066,0.00000,0.00004,0.00159,0.00021,0.00423,0.00069,0.00000
1469,336733.825300,158059.279500,570,85,85,0.889,2,int,0.00321,0.00109,0.00008,1.09906,0.00015,0.00061,0.00008,1416.96304,200.99751,1263.96204,200.99751,568.59479,14.14214,0.00000,0.00059,0.00330,0.00005,0.00018,0.00078,0.00170,0.00053,0.00119
1471,336780.328400,158099.856800,571,85,85,0.919,2,cont,0.00575,0.00116,0.00008,0.00000,0.00015,0.00000,0.00008,1416.96304,160.00000,1221.02417,160.00000,531.41321,70.71068,0.00000,0.00242,0.00368,0.00006,0.00000,0.00119,0.00180,0.00000,0.00119
1484,337334.651900,158175.330300,580,85,85,1.778,2,cont,0.00540,0.00121,0.00008,0.00000,0.00015,0.00000,0.00008,814.10444,130.00000,1080.74048,130.00000,180.00000,100.00000,0.00000,0.00080,0.00707,0.00001,0.00000,0.00000,0.00000,0.00000,0.00060
1487,336618.516600,157978.403000,582,85,85,2.691,2,int,0.00332,0.00095,0.00008,1.09906,0.00000,0.00000,0.00008,855.79478,72.11102,1356.35547,72.11102,502.19519,0.00000,0.00000,0.00001,0.00097,0.00004,0.00159,0.00000,0.00000,0.00060,0.00073
1493,339181.802600,158193.036000,586,1,1,2.144,2,int,0.00000,0.00000,0.00078,0.69162,0.00006,0.00148,0.00000,615.40151,490.00000,684.68970,490.00000,1488.52271,0.00000,0.01268,0.00000,0.00788,0.00000,0.00000,0.01022,0.00000,0.00000,0.00000
8,296176.313400,96878.309100,4,2,2,2.122,3,int,0.00000,0.00272,0.00062,0.92188,0.00008,0.00129,0.00024,1052.05017,278.02878,629.68243,278.02878,853.75641,0.00000,0.00907,0.00000,0.00353,0.00004,0.00296,0.00361,0.00360,0.00199,0.00116
16,296176.313400,96878.309100,4,2,2,2.175,3,int,0.00000,0.00272,0.00062,0.92188,0.00008,0.00129,0.00024,1052.05017,278.02878,629.68243,278.02878,853.75641,0.00000,0.00907,0.00000,0.00353,0.00004,0.00296,0.00361,0.00360,0.00199,0.00116
17,296176.313400,96878.309100,4,2,2,2.179,3,int,0.00000,0.00272,0.00062,0.92188,0.00008,0.00129,0.00024,1052.05017,278.02878,629.68243,278.02878,853.75641,0.00000,0.00907,0.00000,0.00353,0.00004,0.00296,0.00361,0.00360,0.00199,0.00116
21,296176.313400,96878.309100,4,2,2,2.214,3,int,0.00000,0.00272,0.00062,0.92188,0.00008,0.00129,0.00024,1052.05017,278.02878,629.68243,278.02878,853.75641,0.00000,0.00907,0.00000,0.00353,0.00004,0.00296,0.00361,0.00360,0.00199,0.00116
23,296176.313400,96878.309100,4,2,2,2.232,3,int,0.00000,0.00272,0.00062,0.92188,0.00008,0.00129,0.00024,1098.40385,278.02878,629.68243,278.02878,853.75641,0.00000,0.00907,0.00000,0.00353,0.00004,0.00296,0.00361,0.00360,0.00199,0.00116
64,295637.965800,96735.555000,18,99,99,0.706,3,int,0.00000,0.00193,0.00060,0.00000,0.00000,0.00000,0.00000,1221.55025,367.96738,332.41541,367.96738,667.53278,22.36068,0.00418,0.00000,0.00000,0.00009,0.00000,0.00000,0.00580,0.00000,0.00000
170,300513.311900,102096.252900,71,85,85,1.806,3,int,0.00104,0.00165,0.00006,0.00000,0.00000,0.00000,0.00003,1622.96262,203.96078,888.14410,203.96078,0.00000,10.00000,0.01434,0.00000,0.00191,0.00000,0.00794,0.00398,0.00000,0.00000,0.00000
190,302083.886300,103985.242300,75,0,0,1.732,3,int,0.00175,0.00226,0.00000,0.00000,0.00002,0.00135,0.00006,618.04822,444.07205,727.80493,444.07205,1325.17920,0.00000,0.00604,0.00000,0.00784,0.00000,0.00259,0.00629,0.00000,0.00000,0.00000
191,302083.886300,103985.242300,75,0,0,1.762,3,int,0.00175,0.00226,0.00000,0.00000,0.00002,0.00135,0.00006,618.04822,444.07205,727.80493,444.07205,1325.17920,0.00000,0.00604,0.00000,0.00784,0.00000,0.00259,0.00629,0.00000,0.00000,0.00000
199,302418.318000,103748.700100,80,0,0,2.120,3,int,0.00000,0.00284,0.00000,0.00000,0.00003,0.00000,0.00006,1449.33570,427.55118,520.38446,0.00000,0.00000,131.52946,0.00098,0.00000,0.00445,0.00001,0.00000,0.00101,0.00000,0.00000,0.00099
235,302732.434700,103479.190200,91,80,60,1.062,3,int,0.00117,0.00250,0.00047,0.00000,0.00003,0.00167,0.00006,1023.57326,219.31712,170.00000,219.31712,1865.10059,0.00000,0.01260,0.00000,0.00196,0.00002,0.00000,0.00622,0.00165,0.00000,0.00009
268,303328.355200,106197.749400,106,90,90,2.071,3,int,0.00000,0.00404,0.00004,0.00000,0.00000,0.00167,0.00013,1626.18727,260.76810,0.00000,260.76810,909.56036,0.00000,0.00889,0.00000,0.00000,0.00004,0.00625,0.00000,0.00558,0.00062,0.00000
306,303556.689300,106169.034200,130,95,95,1.222,3,int,0.00158,0.00000,0.00004,0.00000,0.00000,0.00167,0.00013,970.91167,0.00000,282.84271,0.00000,0.00000,50.00000,0.00646,0.00000,0.00000,0.00006,0.00217,0.00000,0.00638,0.00239,0.00000
333,303480.991400,106188.237400,137,95,95,1.398,3,int,0.00164,0.00000,0.00004,0.00000,0.00000,0.00167,0.00013,1022.23549,358.05026,0.00000,0.00000,0.00000,30.00000,0.00747,0.00000,0.00000,0.00005,0.00402,0.00000,0.00605,0.00239,0.00000
367,305245.106900,112591.714200,154,100,75,0.976,3,cont,0.01279,0.00293,0.00000,0.00000,0.00001,0.00064,0.00000,792.01267,0.00000,904.26764,0.00000,0.00000,42.42641,0.00465,0.01183,0.00037,0.00000,0.00174,0.00000,0.00000,0.00000,0.00000
378,304905.332400,112818.178700,157,100,75,1.501,3,cont,0.00648,0.00286,0.00000,1.22541,0.00001,0.00064,0.00000,1197.38574,10.00000,955.19629,10.00000,6147.32471,98.48858,0.00273,0.00504,0.00547,0.00000,0.00000,0.00000,0.00000,0.00000,0.00102
399,304905.332400,112818.178700,157,100,75,1.620,3,cont,0.00648,0.00286,0.00000,1.22541,0.00001,0.00064,0.00000,789.57086,10.00000,955.19629,10.00000,6147.32471,98.48858,0.00273,0.00504,0.00547,0.00000,0.00000,0.00000,0.00000,0.00000,0.00102
410,310164.462000,115857.750600,158,35,100,3.196,3,int,0.00013,0.00608,0.00030,3.61587,0.00000,0.00222,0.00000,1417.09943,582.49463,415.93268,582.49463,1464.54773,80.62257,0.00403,0.00000,0.00000,0.00004,0.00000,0.00000,0.00136,0.00329,0.00000
418,310172.252000,115658.511500,167,35,100,3.411,3,int,0.00000,0.00539,0.00030,0.00000,0.00000,0.00213,0.00000,1028.49275,432.78171,562.22772,432.78171,1602.40442,67.08204,0.00239,0.00000,0.00097,0.00011,0.00000,0.00000,0.00438,0.00597,0.00266
429,310179.951200,115616.110100,171,35,100,3.487,3,int,0.00000,0.00518,0.00030,0.00000,0.00012,0.00207,0.00000,1417.09943,416.17303,588.21765,416.17303,1642.01099,50.00000,0.00239,0.00000,0.00147,0.00011,0.00000,0.00000,0.00438,0.00544,0.00392
443,310205.348700,115418.790500,173,35,100,3.693,3,int,0.00413,0.00447,0.00017,0.00000,0.00012,0.00180,0.00000,1496.39637,372.15588,735.39105,372.15588,1780.89868,72.80110,0.00181,0.00000,0.00602,0.00011,0.00000,0.00000,0.00000,0.00000,0.00758
455,310243.823900,115408.112800,174,35,100,3.856,3,cont,0.00522,0.00446,0.00017,0.00000,0.00012,0.00179,0.00000,620.19922,411.09610,714.21283,0.00000,1776.73853,80.00000,0.00173,0.00000,0.00542,0.00010,0.00000,0.00000,0.00000,0.00000,0.00769
461,310326.627600,115400.004700,174,35,100,3.878,3,cont,0.00751,0.00444,0.00017,0.00000,0.00012,0.00178,0.00000,1241.91355,490.40799,667.08319,490.40799,1736.66345,108.16654,0.00150,0.00000,0.00287,0.00011,0.00000,0.00000,0.00000,0.00000,0.00782
469,310523.366100,115395.489900,186,35,100,3.939,3,cont,0.00617,0.00417,0.00017,0.00000,0.00012,0.00176,0.00000,1606.80339,300.00000,546.44305,300.00000,1658.46313,98.99495,0.00223,0.00000,0.00189,0.00006,0.00000,0.00000,0.00000,0.00000,0.00448
473,310523.366100,115395.489900,186,35,100,3.978,3,cont,0.00617,0.00417,0.00017,0.00000,0.00012,0.00176,0.00000,1621.27254,300.00000,546.44305,300.00000,1658.46313,98.99495,0.00223,0.00000,0.00189,0.00006,0.00000,0.00000,0.00000,0.00000,0.00448
482,310523.366100,115395.489900,186,35,100,4.024,3,cont,0.00617,0.00417,0.00017,0.00000,0.00012,0.00176,0.00000,1621.27254,300.00000,546.44305,300.00000,1658.46313,98.99495,0.00223,0.00000,0.00189,0.00006,0.00000,0.00000,0.00000,0.00000,0.00448
502,310182.877600,115622.733300,198,100,100,1.139,3,int,0.00000,0.00520,0.00030,1.44236,0.00012,0.00209,0.00065,1241.91355,416.17303,588.21765,416.17303,0.00000,50.00000,0.00239,0.00000,0.00132,0.00011,0.00000,0.00000,0.00438,0.00000,0.00354
504,310164.597000,115865.534400,199,100,100,1.349,3,int,0.00021,0.00611,0.00030,3.61587,0.00012,0.00222,0.00067,1238.23434,590.76221,406.07880,590.76221,1457.25769,70.71068,0.00426,0.00000,0.00000,0.00003,0.00000,0.00000,0.00136,0.00000,0.00000
604,318030.107400,118580.242900,260,90,90,0.768,3,int,0.00000,0.00555,0.00062,0.00000,0.00017,0.00196,0.00060,811.98173,266.83328,0.00000,0.00000,554.43665,0.00000,0.00000,0.00000,0.00440,0.00010,0.00143,0.00224,0.00732,0.00439,0.00341
619,317514.443200,119412.634500,274,90,90,1.971,3,wtt,0.00406,0.00550,0.00048,0.00000,0.00011,0.00125,0.00063,1560.17614,141.42136,748.46509,141.42136,1195.70068,0.00000,0.00000,0.00195,0.00481,0.00003,0.00323,0.00392,0.00340,0.00000,0.00000
681,318849.761300,119380.388800,296,25,80,1.909,3,wtt,0.00245,0.00529,0.00000,0.00000,0.00009,0.00209,0.00000,1022.45222,206.15529,120.00000,0.00000,0.00000,0.00000,0.01262,0.00000,0.00060,0.00001,0.00661,0.00358,0.00000,0.00000,0.00000
704,318989.220300,118867.672000,305,25,80,2.615,3,int,0.00279,0.00580,0.00000,0.00000,0.00011,0.00282,0.00000,1205.19677,0.00000,286.35641,0.00000,0.00000,0.00000,0.00000,0.00000,0.00111,0.00000,0.00000,0.00120,0.00439,0.00000,0.00119
762,318847.711500,119339.267000,331,100,90,1.470,3,wtt,0.00237,0.00549,0.00000,0.00000,0.00011,0.00213,0.00000,894.86747,200.24985,104.40307,200.24985,0.00000,0.00000,0.01221,0.00000,0.00060,0.00002,0.00566,0.00273,0.00000,0.00000,0.00000
775,319828.273800,118847.926700,339,95,5,0.570,3,int,0.00364,0.00374,0.00078,0.00000,0.00007,0.00197,0.00018,931.34288,10.00000,232.59407,10.00000,1115.16809,50.00000,0.00720,0.00274,0.00000,0.00005,0.00293,0.00000,0.00238,0.00212,0.00000
782,319828.273800,118847.926700,339,95,5,0.660,3,int,0.00364,0.00374,0.00078,0.00000,0.00007,0.00197,0.00018,1318.63067,10.00000,232.59407,10.00000,1115.16809,50.00000,0.00720,0.00274,0.00000,0.00005,0.00293,0.00000,0.00238,0.00212,0.00000
805,319820.791300,119044.913100,344,95,5,0.903,3,int,0.00000,0.00385,0.00094,0.00000,0.00008,0.00214,0.00027,1192.80926,200.00000,327.56677,200.00000,0.00000,0.00000,0.00685,0.00000,0.00300,0.00004,0.00000,0.00333,0.00304,0.00190,0.00158
837,319834.035300,119446.234600,356,95,5,2.368,3,cont,0.00096,0.00409,0.00096,0.00000,0.00009,0.00000,0.00017,1108.09650,240.41631,478.53946,240.41631,1649.15125,0.00000,0.01185,0.00000,0.00033,0.00001,0.00000,0.00118,0.00106,0.00000,0.00000
845,319762.770600,119243.795500,357,95,5,2.490,3,int,0.00060,0.00441,0.00111,1.14847,0.00009,0.00000,0.00037,1511.97428,386.26416,322.02484,386.26416,1493.72021,0.00000,0.00885,0.00000,0.00538,0.00002,0.00000,0.00000,0.00058,0.00000,0.00140
846,319793.444800,119093.164300,361,95,5,2.570,3,int,0.00000,0.00405,0.00104,2.35671,0.00010,0.00000,0.00033,1511.97428,250.19992,308.05844,250.19992,1346.47693,0.00000,0.00826,0.00000,0.00407,0.00005,0.00000,0.00000,0.00235,0.00000,0.00179
859,320264.250500,121202.519700,365,10,2,1.760,3,int,0.00000,0.00297,0.00071,0.00000,0.00003,0.00199,0.00000,1202.16053,0.00000,320.00000,332.41541,3267.35376,0.00000,0.00843,0.00000,0.00000,0.00004,0.00199,0.00161,0.00577,0.00000,0.00380
869,320290.856600,121288.865900,377,10,2,1.800,3,int,0.00000,0.00300,0.00075,0.00000,0.00003,0.00206,0.00000,1395.14733,0.00000,298.32867,0.00000,0.00000,0.00000,0.00876,0.00000,0.00495,0.00004,0.00154,0.00243,0.00620,0.00000,0.00430
882,320290.856600,121288.865900,377,10,2,1.901,3,int,0.00000,0.00300,0.00075,0.00000,0.00003,0.00206,0.00000,809.05034,0.00000,298.32867,0.00000,0.00000,0.00000,0.00876,0.00000,0.00495,0.00004,0.00154,0.00243,0.00620,0.00000,0.00430
901,320338.280800,121496.128100,382,10,2,2.192,3,int,0.00000,0.00305,0.00075,1.87709,0.00003,0.00206,0.00000,793.24293,0.00000,269.25824,233.45235,0.00000,110.00000,0.00435,0.00000,0.00868,0.00006,0.00055,0.00267,0.00282,0.00139,0.00606
909,320361.050900,121652.606400,383,10,2,2.243,3,int,0.00000,0.00281,0.00075,0.00000,0.00003,0.00206,0.00000,1614.08818,0.00000,271.66156,0.00000,0.00000,0.00000,0.00010,0.00213,0.00644,0.00009,0.00000,0.00022,0.00008,0.00358,0.00542
928,320678.279100,122150.470700,396,90,10,0.535,3,int,0.00000,0.00197,0.00057,2.06191,0.00001,0.00000,0.00000,841.36429,395.60080,30.00000,395.60080,3920.12744,0.00000,0.00797,0.00000,0.00351,0.00001,0.00023,0.00108,0.00206,0.00000,0.00113
931,320678.279100,122150.470700,396,90,10,0.600,3,int,0.00000,0.00197,0.00057,2.06191,0.00001,0.00000,0.00000,865.07737,395.60080,30.00000,395.60080,3920.12744,0.00000,0.00797,0.00000,0.00351,0.00001,0.00023,0.00108,0.00206,0.00000,0.00113
960,320342.509100,121497.175200,407,90,10,1.364,3,int,0.00000,0.00305,0.00075,0.00000,0.00003,0.00000,0.00004,1009.05201,233.45235,269.25824,233.45235,0.00000,110.00000,0.00444,0.00000,0.00865,0.00006,0.00000,0.00266,0.00282,0.00166,0.00615
968,320296.728900,121305.459300,408,90,10,1.483,3,int,0.00000,0.00301,0.00075,0.00000,0.00003,0.00206,0.00004,1139.42842,0.00000,300.00000,395.60080,0.00000,0.00000,0.00875,0.00000,0.00000,0.00004,0.00000,0.00245,0.00613,0.00000,0.00426
974,320291.592800,121291.079100,413,90,10,1.541,3,int,0.00000,0.00300,0.00075,0.00000,0.00003,0.00206,0.00004,1208.56762,412.31058,298.32867,412.31058,0.00000,0.00000,0.00876,0.00000,0.00000,0.00004,0.00000,0.00243,0.00616,0.00000,0.00430
985,320291.592800,121291.079100,413,90,10,1.624,3,int,0.00000,0.00300,0.00075,0.00000,0.00003,0.00206,0.00004,811.15133,412.31058,298.32867,412.31058,0.00000,0.00000,0.00876,0.00000,0.00000,0.00004,0.00000,0.00243,0.00616,0.00000,0.00430
1084,322469.490000,119660.760900,447,0,0,0.875,3,cont,0.00750,0.00164,0.00009,0.00000,0.00004,0.00088,0.00012,691.38232,296.14185,22.36068,296.14185,1007.22394,0.00000,0.00000,0.00000,0.00374,0.00000,0.00000,0.00664,0.00000,0.00000,0.00000
1125,329064.413600,129164.582600,465,5,60,1.681,3,int,0.00100,0.00000,0.00000,0.00000,0.00046,0.00068,0.00007,604.28336,291.54761,360.00000,291.54761,0.00000,0.00000,0.00148,0.00000,0.00000,0.00013,0.00000,0.00000,0.00520,0.00794,0.00000
1141,329212.040800,129144.757500,466,5,60,1.824,3,int,0.00000,0.00000,0.00000,0.00000,0.00046,0.00135,0.00010,1013.93859,411.09610,361.24783,411.09610,0.00000,0.00000,0.00000,0.00000,0.00113,0.00016,0.00000,0.00000,0.00203,0.00000,0.00129
1146,329266.643400,129139.559100,469,5,60,1.899,3,int,0.00000,0.00000,0.00000,0.00000,0.00046,0.00155,0.00010,675.68463,468.40155,370.00000,468.40155,0.00000,0.00000,0.00005,0.00000,0.00162,0.00016,0.00000,0.00000,0.00065,0.00000,0.00223
1148,329307.945800,129135.655900,470,5,60,2.026,3,int,0.00000,0.00000,0.00000,0.00000,0.00046,0.00169,0.00010,706.86282,506.95166,364.96576,506.95166,10470.57813,0.00000,0.00007,0.00000,0.00199,0.00015,0.00000,0.00000,0.00007,0.00000,0.00302
1174,330189.070200,129811.004800,483,40,40,1.030,3,int,0.00000,0.00308,0.00134,0.00000,0.00043,0.00238,0.00002,609.02232,1394.34570,0.00000,1394.34570,11489.34277,40.00000,0.00875,0.00000,0.00189,0.00000,0.00267,0.00238,0.00000,0.00000,0.00000
1209,329638.274700,130073.195900,495,40,40,1.811,3,int,0.00120,0.00000,0.00109,0.00000,0.00040,0.00195,0.00002,1414.83915,1340.14929,290.68884,1340.14929,11457.68262,10.00000,0.00311,0.00000,0.00398,0.00004,0.00313,0.00159,0.00285,0.00000,0.00174
1214,329638.274700,130073.195900,495,40,40,1.843,3,int,0.00120,0.00000,0.00109,0.00000,0.00040,0.00195,0.00002,1415.47613,1340.14929,290.68884,1340.14929,11457.68262,10.00000,0.00311,0.00000,0.00398,0.00004,0.00313,0.00159,0.00285,0.00000,0.00174
1227,329638.274700,130073.195900,495,40,40,1.901,3,int,0.00120,0.00000,0.00109,0.00000,0.00040,0.00195,0.00002,1203.25519,1340.14929,290.68884,1340.14929,11457.68262,10.00000,0.00311,0.00000,0.00398,0.00004,0.00313,0.00159,0.00285,0.00000,0.00174
1232,329408.616400,130037.408400,496,40,40,1.984,3,wtt,0.00000,0.00000,0.00082,0.00000,0.00039,0.00161,0.00003,1203.25519,1187.01306,414.00482,1187.01306,0.00000,20.00000,0.00000,0.00000,0.00108,0.00005,0.00403,0.00040,0.00542,0.00000,0.00187
1244,329407.199800,130036.315600,498,40,40,2.129,3,wtt,0.00000,0.00000,0.00082,0.00000,0.00038,0.00161,0.00003,631.59949,1187.01306,422.01895,1187.01306,0.00000,20.00000,0.00000,0.00000,0.00108,0.00005,0.00403,0.00040,0.00542,0.00000,0.00187
1247,329407.199800,130036.315600,498,40,40,2.139,3,wtt,0.00000,0.00000,0.00082,0.00000,0.00038,0.00161,0.00003,991.63809,1187.01306,422.01895,1187.01306,0.00000,20.00000,0.00000,0.00000,0.00108,0.00005,0.00403,0.00040,0.00542,0.00000,0.00187
1265,329412.135100,130038.472500,501,100,100,1.759,3,wtt,0.00000,0.00000,0.00082,1.21171,0.00039,0.00161,0.00003,991.63809,1187.01306,414.00482,1187.01306,11333.29590,0.00000,0.00692,0.00000,0.00108,0.00005,0.00403,0.00040,0.00542,0.00000,0.00187
1330,329884.753200,129078.840200,524,30,30,0.959,3,int,0.00000,0.00000,0.00117,0.92345,0.00055,0.00220,0.00010,1009.19449,1056.78760,566.12720,1056.78760,10707.27344,44.72136,0.00448,0.00000,0.00470,0.00003,0.00056,0.00000,0.00389,0.00193,0.00268
1346,329473.323300,129132.278400,530,30,30,1.525,3,int,0.00000,0.00000,0.00000,0.92345,0.00049,0.00216,0.00010,804.35959,670.82037,371.21423,0.00000,10550.07617,261.72504,0.00000,0.00000,0.00537,0.00014,0.00000,0.00000,0.00000,0.01093,0.00724
1350,329454.462100,129136.985400,533,30,30,1.557,3,int,0.00000,0.00000,0.00000,0.92345,0.00049,0.00215,0.00010,810.03552,653.06970,360.13885,0.00000,10540.61230,256.12497,0.00000,0.00000,0.00519,0.00015,0.00000,0.00000,0.00000,0.01161,0.00690
1357,329454.462100,129136.985400,533,30,30,1.589,3,int,0.00000,0.00000,0.00000,0.92345,0.00049,0.00215,0.00010,810.03552,653.06970,360.13885,0.00000,10540.61230,256.12497,0.00000,0.00000,0.00519,0.00015,0.00000,0.00000,0.00000,0.01161,0.00690
1394,329224.640200,129143.472300,544,30,30,1.833,3,int,0.00000,0.00233,0.00076,0.00000,0.00000,0.00143,0.00010,618.08965,430.11627,370.54016,430.11627,10442.82031,160.00000,0.00000,0.00000,0.00131,0.00016,0.00000,0.00000,0.00000,0.00000,0.00152
1400,329224.640200,129143.472300,544,30,30,1.857,3,int,0.00000,0.00233,0.00076,0.00000,0.00000,0.00143,0.00010,618.08965,430.11627,370.54016,430.11627,10442.82031,160.00000,0.00000,0.00000,0.00131,0.00016,0.00000,0.00000,0.00000,0.00000,0.00152
1406,329224.640200,129143.472300,544,30,30,1.884,3,int,0.00000,0.00233,0.00076,0.00000,0.00000,0.00143,0.00010,1217.37616,430.11627,370.54016,430.11627,10442.82031,160.00000,0.00000,0.00000,0.00131,0.00016,0.00000,0.00000,0.00000,0.00000,0.00152
1514,339147.802600,158205.675700,598,50,80,1.440,3,int,0.00000,0.00255,0.00078,0.69162,0.00006,0.00148,0.00014,960.69387,470.95648,710.21124,470.95648,1451.34424,10.00000,0.01201,0.00000,0.00844,0.00000,0.00974,0.00000,0.00000,0.00000,0.00000
1538,338896.816300,158198.662900,604,50,80,1.853,3,cont,0.00126,0.00232,0.00063,0.00000,0.00006,0.00122,0.00009,615.40151,540.83270,749.53320,540.83270,1207.84937,0.00000,0.01503,0.00000,0.00587,0.00000,0.01209,0.00785,0.00000,0.00000,0.00000
1539,338896.816300,158198.662900,604,50,80,1.856,3,cont,0.00126,0.00232,0.00063,0.00000,0.00006,0.00122,0.00009,1631.82643,540.83270,749.53320,540.83270,1207.84937,0.00000,0.01503,0.00000,0.00587,0.00000,0.01209,0.00785,0.00000,0.00000,0.00000
13,296176.313400,96878.309100,4,2,2,2.158,4,int,0.00000,0.00272,0.00062,0.92188,0.00008,0.00129,0.00024,1052.05017,278.02878,629.68243,278.02878,853.75641,0.00000,0.00907,0.00000,0.00353,0.00004,0.00296,0.00361,0.00360,0.00199,0.00116
18,296176.313400,96878.309100,4,2,2,2.187,4,int,0.00000,0.00272,0.00062,0.92188,0.00008,0.00129,0.00024,1052.05017,278.02878,629.68243,278.02878,853.75641,0.00000,0.00907,0.00000,0.00353,0.00004,0.00296,0.00361,0.00360,0.00199,0.00116
73,296206.044100,96883.278700,27,99,99,1.293,4,wtt,0.00000,0.00271,0.00062,0.00000,0.00000,0.00000,0.00000,605.43925,254.95097,640.78076,254.95097,861.27814,0.00000,0.00931,0.00000,0.00394,0.00004,0.00000,0.00000,0.00000,0.00206,0.00000
108,296419.922200,99336.249600,44,90,75,0.967,4,int,0.00292,0.00144,0.00008,0.51151,0.00019,0.00000,0.00000,818.48345,114.01754,698.35522,0.00000,890.00000,0.00000,0.00901,0.00000,0.00318,0.00001,0.00499,0.00170,0.00123,0.00000,0.00193
120,296981.776900,99256.136500,50,90,75,1.722,4,cont,0.00800,0.00164,0.00007,0.00000,0.00030,0.00041,0.00000,818.48345,10.00000,845.93146,0.00000,992.97534,331.36084,0.00000,0.00698,0.00486,0.00002,0.00000,0.00000,0.00000,0.00000,0.00118
137,300694.497000,101951.522900,58,70,85,2.132,4,int,0.00213,0.00203,0.00006,0.00000,0.00000,0.00000,0.00003,613.81959,155.56349,0.00000,155.56349,0.00000,53.85165,0.00928,0.00016,0.00634,0.00000,0.00216,0.00493,0.00000,0.00000,0.00000
172,300494.117000,102124.428800,74,85,85,1.905,4,int,0.00127,0.00161,0.00006,0.00000,0.00000,0.00000,0.00003,816.48101,189.73666,852.11499,189.73666,0.00000,0.00000,0.01503,0.00000,0.00176,0.00000,0.00896,0.00332,0.00000,0.00000,0.00000
189,302083.886300,103985.242300,75,0,0,1.727,4,int,0.00175,0.00226,0.00000,0.00000,0.00002,0.00135,0.00006,618.04822,444.07205,727.80493,444.07205,1325.17920,0.00000,0.00604,0.00000,0.00784,0.00000,0.00259,0.00629,0.00000,0.00000,0.00000
195,302250.694000,103864.195200,78,0,0,1.947,4,int,0.00001,0.00270,0.00000,0.90986,0.00000,0.00000,0.00006,821.35479,490.30603,667.08319,0.00000,1430.55933,10.00000,0.00478,0.00000,0.00354,0.00000,0.00219,0.00000,0.00000,0.00000,0.00000
226,302730.259300,103475.893800,87,0,0,2.749,4,int,0.00117,0.00250,0.00000,0.00000,0.00003,0.00000,0.00006,1427.07446,219.31712,170.00000,219.31712,1872.43152,0.00000,0.01260,0.00000,0.00169,0.00002,0.00000,0.00000,0.00165,0.00000,0.00002
267,303288.891700,106234.078700,105,90,90,1.934,4,int,0.00226,0.00390,0.00004,0.00000,0.00000,0.00166,0.00012,1626.18727,269.25824,440.45432,269.25824,939.41473,0.00000,0.01052,0.00000,0.00000,0.00003,0.00727,0.00000,0.00588,0.00000,0.00000
271,303392.436600,106197.669700,106,90,90,2.093,4,int,0.00000,0.00409,0.00004,0.00000,0.00000,0.00167,0.00013,743.63181,297.32138,0.00000,297.32138,842.02136,0.00000,0.00815,0.00000,0.00000,0.00005,0.00535,0.00000,0.00570,0.00239,0.00000
307,303526.542600,106176.267900,130,95,95,1.229,4,int,0.00149,0.00000,0.00004,0.00000,0.00000,0.00167,0.00013,937.71505,0.00000,0.00000,0.00000,0.00000,40.00000,0.00653,0.00000,0.00000,0.00006,0.00265,0.00000,0.00657,0.00239,0.00000
314,303480.991400,106188.237400,137,95,95,1.277,4,int,0.00164,0.00000,0.00004,0.00000,0.00000,0.00167,0.00013,1025.93967,358.05026,0.00000,0.00000,0.00000,30.00000,0.00747,0.00000,0.00000,0.00005,0.00402,0.00000,0.00605,0.00239,0.00000
