Filename,Directory,ID,Class,sam_period,Confidence,SNR (dB),Time through recording,D500X_Time,D500X_Date,Duration (ms)
T18_2012-07-10_23_19_21_M00280.WAV,D500x_10 Jul T18 towards,5,Ppip,transect sect 3,0.974905,10.907312,0:00:02,11:19:21 PM,10/7/12,5.12
T18_2012-07-10_23_19_21_M00280.WAV,D500x_10 Jul T18 towards,7,Ppip,transect sect 3,0.947641,11.435609,0:00:07,11:19:21 PM,10/7/12,4.8
T18_2012-07-10_23_19_21_M00280.WAV,D500x_10 Jul T18 towards,8,Ppip,transect sect 3,0.763788,11.675341,0:00:08,11:19:21 PM,10/7/12,4.416
T18_2012-07-10_23_19_03_M00279.WAV,D500x_10 Jul T18 towards,10,Pip,transect sect 3,0.913684,12.769325,0:00:06,11:19:03 PM,10/7/12,3.264
T18_2012-07-10_23_19_03_M00279.WAV,D500x_10 Jul T18 towards,1,Ppip,transect sect 3,0.960936,10.878783,0:00:01,11:19:03 PM,10/7/12,7.296
T18_2012-07-10_23_19_03_M00279.WAV,D500x_10 Jul T18 towards,2,Ppip,transect sect 3,0.681036,10.937522,0:00:01,11:19:03 PM,10/7/12,7.104
T18_2012-07-10_23_19_03_M00279.WAV,D500x_10 Jul T18 towards,3,Ppip,transect sect 3,0.996561,14.387725,0:00:02,11:19:03 PM,10/7/12,5.76
T18_2012-07-10_23_19_03_M00279.WAV,D500x_10 Jul T18 towards,4,Ppip,transect sect 3,0.985379,13.803802,0:00:02,11:19:03 PM,10/7/12,4.352
T18_2012-07-10_23_19_03_M00279.WAV,D500x_10 Jul T18 towards,5,Ppip,transect sect 3,0.986748,11.559656,0:00:02,11:19:03 PM,10/7/12,6.976
T18_2012-07-10_23_19_03_M00279.WAV,D500x_10 Jul T18 towards,6,Ppip,transect sect 3,0.952102,14.107185,0:00:02,11:19:03 PM,10/7/12,5.76
T18_2012-07-10_23_19_03_M00279.WAV,D500x_10 Jul T18 towards,7,Ppip,transect sect 3,0.995793,12.992242,0:00:04,11:19:03 PM,10/7/12,6.016
T18_2012-07-10_23_18_15_M00276.WAV,D500x_10 Jul T18 towards,12,Mbra/Mmys,transect sect 3,0.537117,12.167878,0:00:01,11:18:15 PM,10/7/12,3.264
T18_2012-07-10_23_18_15_M00276.WAV,D500x_10 Jul T18 towards,21,Mbra/Mmys,transect sect 3,0.630501,10.997561,0:00:05,11:18:15 PM,10/7/12,4.224
T18_2012-07-10_23_18_15_M00276.WAV,D500x_10 Jul T18 towards,22,Mbra/Mmys,transect sect 3,0.658498,10.762309,0:00:05,11:18:15 PM,10/7/12,4.864
T18_2012-07-10_23_18_15_M00276.WAV,D500x_10 Jul T18 towards,1,Ppip,transect sect 3,0.890833,19.226176,0:00:00,11:18:15 PM,10/7/12,8.192
T18_2012-07-10_23_18_15_M00276.WAV,D500x_10 Jul T18 towards,2,Ppip,transect sect 3,0.979244,21.128088,0:00:00,11:18:15 PM,10/7/12,5.568
T18_2012-07-10_23_18_15_M00276.WAV,D500x_10 Jul T18 towards,3,Ppip,transect sect 3,0.9818,17.744305,0:00:00,11:18:15 PM,10/7/12,4.288
T18_2012-07-10_23_18_15_M00276.WAV,D500x_10 Jul T18 towards,4,Ppip,transect sect 3,0.955541,14.827728,0:00:00,11:18:15 PM,10/7/12,4.352
T18_2012-07-10_23_18_15_M00276.WAV,D500x_10 Jul T18 towards,5,Ppip,transect sect 3,0.982995,21.795212,0:00:00,11:18:15 PM,10/7/12,5.952
T18_2012-07-10_23_18_15_M00276.WAV,D500x_10 Jul T18 towards,6,Ppip,transect sect 3,0.979666,23.51597,0:00:00,11:18:15 PM,10/7/12,5.248
T18_2012-07-10_23_18_15_M00276.WAV,D500x_10 Jul T18 towards,7,Ppip,transect sect 3,0.953714,16.642864,0:00:00,11:18:15 PM,10/7/12,4.992
T18_2012-07-10_23_18_15_M00276.WAV,D500x_10 Jul T18 towards,8,Ppip,transect sect 3,0.977891,20.052826,0:00:00,11:18:15 PM,10/7/12,5.632
T18_2012-07-10_23_18_15_M00276.WAV,D500x_10 Jul T18 towards,9,Ppip,transect sect 3,0.986454,18.365675,0:00:00,11:18:15 PM,10/7/12,5.12
T18_2012-07-10_23_18_15_M00276.WAV,D500x_10 Jul T18 towards,10,Ppip,transect sect 3,0.992124,16.687141,0:00:00,11:18:15 PM,10/7/12,4.608
T18_2012-07-10_23_18_15_M00276.WAV,D500x_10 Jul T18 towards,15,Ppip,transect sect 3,0.570343,8.548222,0:00:03,11:18:15 PM,10/7/12,6.976
T18_2012-07-10_23_18_15_M00276.WAV,D500x_10 Jul T18 towards,16,Ppip,transect sect 3,0.871538,10.407687,0:00:03,11:18:15 PM,10/7/12,5.12
T18_2012-07-10_23_18_15_M00276.WAV,D500x_10 Jul T18 towards,19,Ppip,transect sect 3,0.955092,12.669866,0:00:04,11:18:15 PM,10/7/12,7.104
T18_2012-07-10_23_18_15_M00276.WAV,D500x_10 Jul T18 towards,23,Ppip,transect sect 3,0.640642,10.714988,0:00:06,11:18:15 PM,10/7/12,3.584
T18_2012-07-10_23_18_15_M00276.WAV,D500x_10 Jul T18 towards,24,Ppip,transect sect 3,0.961,10.586345,0:00:06,11:18:15 PM,10/7/12,4.416
T18_2012-07-10_23_18_15_M00276.WAV,D500x_10 Jul T18 towards,26,Ppip,transect sect 3,0.990103,11.511149,0:00:09,11:18:15 PM,10/7/12,6.656
T18_2012-07-10_23_17_34_M00275.WAV,D500x_10 Jul T18 towards,2,Pip,transect sect 3,0.833882,10.809882,0:00:02,11:17:34 PM,10/7/12,2.752
T18_2012-07-10_23_17_34_M00275.WAV,D500x_10 Jul T18 towards,3,Pip,transect sect 3,0.731655,10.474469,0:00:02,11:17:34 PM,10/7/12,2.56
T18_2012-07-10_23_17_34_M00275.WAV,D500x_10 Jul T18 towards,4,Pip,transect sect 3,0.970135,11.4704,0:00:05,11:17:34 PM,10/7/12,3.648
T18_2012-07-10_23_17_34_M00275.WAV,D500x_10 Jul T18 towards,1,Ppip,transect sect 3,0.950919,10.547716,0:00:00,11:17:34 PM,10/7/12,4.608
T18_2012-07-10_23_17_34_M00275.WAV,D500x_10 Jul T18 towards,5,Ppip,transect sect 3,0.944373,10.279653,0:00:05,11:17:34 PM,10/7/12,7.36
T18_2012-07-10_23_17_34_M00275.WAV,D500x_10 Jul T18 towards,6,Ppip,transect sect 3,0.573708,9.813616,0:00:06,11:17:34 PM,10/7/12,5.056
T18_2012-07-10_23_17_34_M00275.WAV,D500x_10 Jul T18 towards,8,Ppip,transect sect 3,0.996146,13.114519,0:00:08,11:17:34 PM,10/7/12,5.184
T18_2012-07-10_23_17_34_M00275.WAV,D500x_10 Jul T18 towards,9,Ppip,transect sect 3,0.73867,16.194393,0:00:08,11:17:34 PM,10/7/12,9.408
T18_2012-07-10_23_17_34_M00275.WAV,D500x_10 Jul T18 towards,14,Ppip,transect sect 3,0.978699,10.249753,0:00:09,11:17:34 PM,10/7/12,4.352
T18_2012-07-10_23_17_34_M00275.WAV,D500x_10 Jul T18 towards,15,Ppip,transect sect 3,0.975812,17.55361,0:00:09,11:17:34 PM,10/7/12,7.424
T18_2012-07-10_23_17_34_M00275.WAV,D500x_10 Jul T18 towards,16,Ppip,transect sect 3,0.992394,11.638344,0:00:09,11:17:34 PM,10/7/12,4.608
T18_2012-07-10_23_17_34_M00275.WAV,D500x_10 Jul T18 towards,17,Ppip,transect sect 3,0.774531,19.188662,0:00:09,11:17:34 PM,10/7/12,7.424
T18_2012-07-10_23_17_00_M00274.WAV,D500x_10 Jul T18 towards,1,Ppip,transect sect 3,0.979887,10.759184,0:00:00,11:17:00 PM,10/7/12,4.544
T18_2012-07-10_23_17_00_M00274.WAV,D500x_10 Jul T18 towards,2,Ppip,transect sect 3,0.991103,10.617575,0:00:00,11:17:00 PM,10/7/12,4.48
T18_2012-07-10_23_17_00_M00274.WAV,D500x_10 Jul T18 towards,3,Ppip,transect sect 3,0.998704,12.892495,0:00:00,11:17:00 PM,10/7/12,5.312
T18_2012-07-10_23_17_00_M00274.WAV,D500x_10 Jul T18 towards,4,Ppip,transect sect 3,0.920331,11.674655,0:00:00,11:17:00 PM,10/7/12,4.672
T18_2012-07-10_23_17_00_M00274.WAV,D500x_10 Jul T18 towards,5,Ppip,transect sect 3,0.991345,10.897707,0:00:00,11:17:00 PM,10/7/12,4.672
T18_2012-07-10_23_17_00_M00274.WAV,D500x_10 Jul T18 towards,13,Ppip,transect sect 3,0.921234,9.662932,0:00:06,11:17:00 PM,10/7/12,2.944
T18_2012-07-10_23_16_48_M00273.WAV,D500x_10 Jul T18 towards,3,Pip,transect sect 3,0.997657,11.968569,0:00:05,11:16:48 PM,10/7/12,5.184
T18_2012-07-10_23_16_48_M00273.WAV,D500x_10 Jul T18 towards,5,Pip,transect sect 3,0.931489,12.507518,0:00:05,11:16:48 PM,10/7/12,4.096
T18_2012-07-10_23_16_48_M00273.WAV,D500x_10 Jul T18 towards,7,Pip,transect sect 3,0.98709,11.054059,0:00:06,11:16:48 PM,10/7/12,3.392
T18_2012-07-10_23_16_48_M00273.WAV,D500x_10 Jul T18 towards,8,Pip,transect sect 3,0.969977,10.738175,0:00:06,11:16:48 PM,10/7/12,2.56
T18_2012-07-10_23_16_48_M00273.WAV,D500x_10 Jul T18 towards,9,Pip,transect sect 3,0.997908,15.058665,0:00:06,11:16:48 PM,10/7/12,4.544
T18_2012-07-10_23_16_48_M00273.WAV,D500x_10 Jul T18 towards,10,Pip,transect sect 3,0.996323,11.448282,0:00:06,11:16:48 PM,10/7/12,3.904
T18_2012-07-10_23_16_48_M00273.WAV,D500x_10 Jul T18 towards,13,Pip,transect sect 3,0.871397,9.164963,0:00:06,11:16:48 PM,10/7/12,4.864
T18_2012-07-10_23_16_48_M00273.WAV,D500x_10 Jul T18 towards,6,Ppip,transect sect 3,0.871623,11.193625,0:00:06,11:16:48 PM,10/7/12,4.288
T18_2012-07-10_23_16_48_M00273.WAV,D500x_10 Jul T18 towards,11,Ppip,transect sect 3,0.999288,13.444388,0:00:06,11:16:48 PM,10/7/12,4.352
T18_2012-07-10_23_16_48_M00273.WAV,D500x_10 Jul T18 towards,12,Ppip,transect sect 3,0.998405,12.442364,0:00:06,11:16:48 PM,10/7/12,4.8
T18_2012-07-10_23_16_48_M00273.WAV,D500x_10 Jul T18 towards,14,Ppip,transect sect 3,0.980162,10.717345,0:00:06,11:16:48 PM,10/7/12,4.48
T18_2012-07-10_23_16_48_M00273.WAV,D500x_10 Jul T18 towards,15,Ppip,transect sect 3,0.791587,10.717046,0:00:07,11:16:48 PM,10/7/12,4.352
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,2,Mbra/Mmys,transect sect 3,0.97916,15.863347,0:00:00,11:16:11 PM,10/7/12,1.984
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,19,Mbra/Mmys,transect sect 3,0.875127,12.019624,0:00:03,11:16:11 PM,10/7/12,1.92
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,25,Mbra/Mmys,transect sect 3,0.607825,12.469123,0:00:04,11:16:11 PM,10/7/12,2.624
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,27,Mbra/Mmys,transect sect 3,0.999902,15.292807,0:00:04,11:16:11 PM,10/7/12,2.944
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,31,Mbra/Mmys,transect sect 3,0.621705,11.483857,0:00:05,11:16:11 PM,10/7/12,1.728
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,3,Pip,transect sect 3,0.991226,10.058847,0:00:00,11:16:11 PM,10/7/12,3.584
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,4,Pip,transect sect 3,0.985668,11.490351,0:00:01,11:16:11 PM,10/7/12,3.84
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,5,Pip,transect sect 3,0.999179,14.885914,0:00:01,11:16:11 PM,10/7/12,5.248
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,6,Pip,transect sect 3,0.998158,13.254906,0:00:01,11:16:11 PM,10/7/12,4.864
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,7,Pip,transect sect 3,0.995881,16.331405,0:00:01,11:16:11 PM,10/7/12,5.76
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,8,Pip,transect sect 3,0.662389,9.500371,0:00:01,11:16:11 PM,10/7/12,4.48
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,9,Pip,transect sect 3,0.998177,14.859262,0:00:01,11:16:11 PM,10/7/12,4.288
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,10,Pip,transect sect 3,0.960601,12.216894,0:00:02,11:16:11 PM,10/7/12,3.968
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,11,Pip,transect sect 3,0.998166,14.363265,0:00:02,11:16:11 PM,10/7/12,4.608
T18_2012-07-10_23_16_11_M00272.WAV,D500x_10 Jul T18 towards,12,Pip,transect sect 3,0.9989,14.370209,0:00:02,11:16:11 PM,10/7/12,4.992
